University_Name,Country_Rank,World_Rank
Shri Guru Ram Rai Education Mission,878,13123
Shri Guru Ram Rai University,822,11718
Shri Jagannath Sanskrit Vishvavidyalaya,721,10749
Shri Jagdishprasad Jhabrmal Tibrewala University,794,11349
Shri Lal Bahadur Shastri Rashtriya Sanskrit Vidyapeetha,456,8843
Shri Mata Vaishno Devi University,255,7080
Shri Ramswaroop Memorial University,627,10032
Shri Vaishnav Vidyapeeth Vishwavidyalaya,686,10464
Shri Venkateshwara University,682,10427
Shri Vishwakarma Skill University,633,10076
Shridhar University,715,10714
Siddharth University,620,9952
Sidho Kanho Birsha University,656,10207
Sido Kanhu Murmu University,640,10115
Sikkim Manipal University,200,6365
